                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9962,                 2.8013,                 1.0208,                0.00342,                0.98728,                 0.1798,                0.12536,                0.76236,                 3.4401,                0.87354,                0.00046,                0.00046,                0.00046
                      2,                0.92928,                 1.5976,                0.95809,                0.98948,                0.23936,                0.67427,                0.52566,                0.84347,                 3.2283,                0.92537,             0.00093069,             0.00093069,             0.00093069
                      3,                0.97183,                 1.3369,                0.97527,                      1,                0.03992,                0.33857,                0.22434,                 1.2443,                  3.586,                 1.2348,              0.0013919,              0.0013919,              0.0013919
                      4,                 1.0067,                 1.3377,                0.98774,                0.88684,                0.46565,                0.63675,                0.44052,                 1.2052,                 2.8241,                 1.1454,              0.0018436,              0.0018436,              0.0018436
                      5,                 0.9679,                 1.2236,                0.97594,                0.77697,                  0.743,                0.80949,                0.56474,                 1.0629,                 1.8651,                 1.0493,              0.0019208,              0.0019208,              0.0019208
                      6,                0.97105,                 1.1081,                0.99185,                0.88655,                0.89476,                0.93517,                0.68836,                0.92072,                 1.3967,                0.98685,              0.0019208,              0.0019208,              0.0019208
                      7,                0.93727,                 1.0009,                0.96872,                0.94526,                0.87532,                0.94064,                  0.705,                0.87185,                 1.0988,                 1.0216,               0.001901,               0.001901,               0.001901
                      8,                0.91612,                0.90761,                0.96323,                0.86174,                0.86768,                0.93792,                0.70075,                0.89967,                 1.2653,                0.98623,              0.0018812,              0.0018812,              0.0018812
                      9,                0.96374,                0.90485,                0.97369,                0.90304,                0.94792,                0.97086,                0.72662,                0.87844,                 0.9902,                0.94921,              0.0018614,              0.0018614,              0.0018614
                     10,                0.91833,                0.85436,                0.97575,                0.92096,                0.91905,                 0.9701,                0.75109,                0.78227,                  0.827,                 0.9354,              0.0018416,              0.0018416,              0.0018416
                     11,                0.85947,                0.75722,                0.94319,                 0.9519,                0.94148,                0.97857,                0.78032,                0.73744,                 0.8163,                0.91279,              0.0018218,              0.0018218,              0.0018218
                     12,                0.83634,                0.70964,                0.94047,                0.97916,                0.95637,                0.98656,                0.77738,                0.78659,                0.66692,                 0.9202,               0.001802,               0.001802,               0.001802
